Id,Placename,Indicator,ValueRaw,ValueDiscrete,Lat,Long,LocationType,MeasurementRecordedDate,CreationTime
17,Toronto_R,Night_Light,20546.52148,medium,45.1507,-79.4174,Rural,2019-03-17,2020-05-31
78,Toronto_U,Night_Light,20546.52148,medium,45.749,-79.4083,Urban,2019-03-17,2020-05-31
18,Toronto_R,Night_Light,22002.75977,medium,45.1507,-79.4174,Rural,2019-03-18,2020-05-31
79,Toronto_U,Night_Light,22002.75977,medium,45.749,-79.4083,Urban,2019-03-18,2020-05-31
19,Toronto_R,Night_Light,22962.68164,high,45.1507,-79.4174,Rural,2019-03-19,2020-05-31
80,Toronto_U,Night_Light,22962.68164,high,45.749,-79.4083,Urban,2019-03-19,2020-05-31
20,Toronto_R,Night_Light,25030.94922,high,45.1507,-79.4174,Rural,2019-03-20,2020-05-31
81,Toronto_U,Night_Light,25030.94922,high,45.749,-79.4083,Urban,2019-03-20,2020-05-31
21,Toronto_R,Night_Light,17523.86914,low,45.1507,-79.4174,Rural,2019-03-21,2020-05-31
82,Toronto_U,Night_Light,17523.86914,low,45.749,-79.4083,Urban,2019-03-21,2020-05-31
22,Toronto_R,Night_Light,21046.69336,medium,45.1507,-79.4174,Rural,2019-03-22,2020-05-31
83,Toronto_U,Night_Light,21046.69336,medium,45.749,-79.4083,Urban,2019-03-22,2020-05-31
23,Toronto_R,Night_Light,23518.07422,high,45.1507,-79.4174,Rural,2019-03-23,2020-05-31
84,Toronto_U,Night_Light,23518.07422,high,45.749,-79.4083,Urban,2019-03-23,2020-05-31
24,Toronto_R,Night_Light,24906.07227,high,45.1507,-79.4174,Rural,2019-03-24,2020-05-31
85,Toronto_U,Night_Light,24906.07227,high,45.749,-79.4083,Urban,2019-03-24,2020-05-31
25,Toronto_R,Night_Light,23333.21875,high,45.1507,-79.4174,Rural,2019-03-25,2020-05-31
86,Toronto_U,Night_Light,23333.21875,high,45.749,-79.4083,Urban,2019-03-25,2020-05-31
26,Toronto_R,Night_Light,23436.91016,high,45.1507,-79.4174,Rural,2019-03-26,2020-05-31
87,Toronto_U,Night_Light,23436.91016,high,45.749,-79.4083,Urban,2019-03-26,2020-05-31
27,Toronto_R,Night_Light,22037.93359,medium,45.1507,-79.4174,Rural,2019-03-27,2020-05-31
88,Toronto_U,Night_Light,22037.93359,medium,45.749,-79.4083,Urban,2019-03-27,2020-05-31
28,Toronto_R,Night_Light,14975.46289,low,45.1507,-79.4174,Rural,2019-03-28,2020-05-31
89,Toronto_U,Night_Light,14975.46289,low,45.749,-79.4083,Urban,2019-03-28,2020-05-31
29,Toronto_R,Night_Light,27127.94141,high,45.1507,-79.4174,Rural,2019-03-29,2020-05-31
90,Toronto_U,Night_Light,27127.94141,high,45.749,-79.4083,Urban,2019-03-29,2020-05-31
30,Toronto_R,Night_Light,23256.35742,high,45.1507,-79.4174,Rural,2019-03-30,2020-05-31
91,Toronto_U,Night_Light,23256.35742,high,45.749,-79.4083,Urban,2019-03-30,2020-05-31
31,Toronto_R,Night_Light,13961.75977,low,45.1507,-79.4174,Rural,2019-03-31,2020-05-31
92,Toronto_U,Night_Light,13961.75977,low,45.749,-79.4083,Urban,2019-03-31,2020-05-31
32,Toronto_R,Night_Light,23871.26758,high,45.1507,-79.4174,Rural,2019-04-01,2020-05-31
93,Toronto_U,Night_Light,23871.26758,high,45.749,-79.4083,Urban,2019-04-01,2020-05-31
33,Toronto_R,Night_Light,17856.26563,medium,45.1507,-79.4174,Rural,2019-04-02,2020-05-31
94,Toronto_U,Night_Light,17856.26563,medium,45.749,-79.4083,Urban,2019-04-02,2020-05-31
34,Toronto_R,Night_Light,24302.6875,high,45.1507,-79.4174,Rural,2019-04-03,2020-05-31
95,Toronto_U,Night_Light,24302.6875,high,45.749,-79.4083,Urban,2019-04-03,2020-05-31
35,Toronto_R,Night_Light,25036.10938,high,45.1507,-79.4174,Rural,2019-04-04,2020-05-31
96,Toronto_U,Night_Light,25036.10938,high,45.749,-79.4083,Urban,2019-04-04,2020-05-31
36,Toronto_R,Night_Light,23343.44336,high,45.1507,-79.4174,Rural,2019-04-05,2020-05-31
97,Toronto_U,Night_Light,23343.44336,high,45.749,-79.4083,Urban,2019-04-05,2020-05-31
37,Toronto_R,Night_Light,23922.25586,high,45.1507,-79.4174,Rural,2019-04-06,2020-05-31
98,Toronto_U,Night_Light,23922.25586,high,45.749,-79.4083,Urban,2019-04-06,2020-05-31
38,Toronto_R,Night_Light,21738.19531,medium,45.1507,-79.4174,Rural,2019-04-07,2020-05-31
99,Toronto_U,Night_Light,21738.19531,medium,45.749,-79.4083,Urban,2019-04-07,2020-05-31
39,Toronto_R,Night_Light,20283.65039,medium,45.1507,-79.4174,Rural,2019-04-08,2020-05-31
100,Toronto_U,Night_Light,20283.65039,medium,45.749,-79.4083,Urban,2019-04-08,2020-05-31
40,Toronto_R,Night_Light,15601.94336,low,45.1507,-79.4174,Rural,2019-04-09,2020-05-31
101,Toronto_U,Night_Light,15601.94336,low,45.749,-79.4083,Urban,2019-04-09,2020-05-31
41,Toronto_R,Night_Light,25329.62891,high,45.1507,-79.4174,Rural,2019-04-10,2020-05-31
102,Toronto_U,Night_Light,25329.62891,high,45.749,-79.4083,Urban,2019-04-10,2020-05-31
42,Toronto_R,Night_Light,25684.88672,high,45.1507,-79.4174,Rural,2019-04-11,2020-05-31
103,Toronto_U,Night_Light,25684.88672,high,45.749,-79.4083,Urban,2019-04-11,2020-05-31
43,Toronto_R,Night_Light,19238.78125,medium,45.1507,-79.4174,Rural,2019-04-12,2020-05-31
104,Toronto_U,Night_Light,19238.78125,medium,45.749,-79.4083,Urban,2019-04-12,2020-05-31
44,Toronto_R,Night_Light,27489.38086,high,45.1507,-79.4174,Rural,2019-04-13,2020-05-31
105,Toronto_U,Night_Light,27489.38086,high,45.749,-79.4083,Urban,2019-04-13,2020-05-31
45,Toronto_R,Night_Light,22688.62891,high,45.1507,-79.4174,Rural,2019-04-14,2020-05-31
106,Toronto_U,Night_Light,22688.62891,high,45.749,-79.4083,Urban,2019-04-14,2020-05-31
46,Toronto_R,Night_Light,19853.98242,medium,45.1507,-79.4174,Rural,2019-04-15,2020-05-31
107,Toronto_U,Night_Light,19853.98242,medium,45.749,-79.4083,Urban,2019-04-15,2020-05-31
47,Toronto_R,Night_Light,26323.48242,high,45.1507,-79.4174,Rural,2019-04-16,2020-05-31
108,Toronto_U,Night_Light,26323.48242,high,45.749,-79.4083,Urban,2019-04-16,2020-05-31
48,Toronto_R,Night_Light,26809.81836,high,45.1507,-79.4174,Rural,2019-04-17,2020-05-31
109,Toronto_U,Night_Light,26809.81836,high,45.749,-79.4083,Urban,2019-04-17,2020-05-31
49,Toronto_R,Night_Light,23673.85742,high,45.1507,-79.4174,Rural,2019-04-18,2020-05-31
110,Toronto_U,Night_Light,23673.85742,high,45.749,-79.4083,Urban,2019-04-18,2020-05-31
50,Toronto_R,Night_Light,16165.98242,low,45.1507,-79.4174,Rural,2019-04-19,2020-05-31
111,Toronto_U,Night_Light,16165.98242,low,45.749,-79.4083,Urban,2019-04-19,2020-05-31
51,Toronto_R,Night_Light,22145.76758,medium,45.1507,-79.4174,Rural,2019-04-20,2020-05-31
112,Toronto_U,Night_Light,22145.76758,high,45.749,-79.4083,Urban,2019-04-20,2020-05-31
52,Toronto_R,Night_Light,21608.72656,medium,45.1507,-79.4174,Rural,2019-04-21,2020-05-31
113,Toronto_U,Night_Light,21608.72656,medium,45.749,-79.4083,Urban,2019-04-21,2020-05-31
53,Toronto_R,Night_Light,25631.26172,high,45.1507,-79.4174,Rural,2019-04-22,2020-05-31
114,Toronto_U,Night_Light,25631.26172,high,45.749,-79.4083,Urban,2019-04-22,2020-05-31
54,Toronto_R,Night_Light,28628.47266,high,45.1507,-79.4174,Rural,2019-04-23,2020-05-31
115,Toronto_U,Night_Light,28628.47266,high,45.749,-79.4083,Urban,2019-04-23,2020-05-31
55,Toronto_R,Night_Light,25286.07617,high,45.1507,-79.4174,Rural,2019-04-24,2020-05-31
116,Toronto_U,Night_Light,25286.07617,high,45.749,-79.4083,Urban,2019-04-24,2020-05-31
56,Toronto_R,Night_Light,26584.83789,high,45.1507,-79.4174,Rural,2019-04-25,2020-05-31
117,Toronto_U,Night_Light,26584.83789,high,45.749,-79.4083,Urban,2019-04-25,2020-05-31
57,Toronto_R,Night_Light,19921.78125,medium,45.1507,-79.4174,Rural,2019-04-26,2020-05-31
118,Toronto_U,Night_Light,19921.78125,medium,45.749,-79.4083,Urban,2019-04-26,2020-05-31
58,Toronto_R,Night_Light,20518.61719,medium,45.1507,-79.4174,Rural,2019-04-27,2020-05-31
119,Toronto_U,Night_Light,20518.61719,medium,45.749,-79.4083,Urban,2019-04-27,2020-05-31
59,Toronto_R,Night_Light,19661.36719,medium,45.1507,-79.4174,Rural,2019-04-28,2020-05-31
120,Toronto_U,Night_Light,19661.36719,medium,45.749,-79.4083,Urban,2019-04-28,2020-05-31
60,Toronto_R,Night_Light,26746.0332,high,45.1507,-79.4174,Rural,2019-04-29,2020-05-31
121,Toronto_U,Night_Light,26746.0332,high,45.749,-79.4083,Urban,2019-04-29,2020-05-31
61,Toronto_R,Night_Light,22415.28711,high,45.1507,-79.4174,Rural,2019-04-30,2020-05-31
122,Toronto_U,Night_Light,22415.28711,high,45.749,-79.4083,Urban,2019-04-30,2020-05-31
